english sentence, french sentence
hello,bonjour
good morning,bonjour 
good afternoon,bon après-midi
good evening,bonsoir
nice to meet you,enchanté
thank you,merci
you're welcome,de rien
excuse me,excusez-moi
i am sorry,je suis désolé
yes,oui
no,non
can you help me?,pouvez-vous m'aider ?
i don't understand,je ne comprends pas
could you repeat that?,pouvez-vous répéter ?
do you speak english?,parlez-vous anglais ?
i speak a little english,je parle un peu anglais
i am hungry,j'ai faim
where is the bathroom?,où sont les toilettes ?
i need help,j'ai besoin d'aide
how much does it cost?,combien ça coûte ?
goodbye,au revoir
see you later,à plus tard
have a nice day,bonne journée
i am happy,je suis heureux / heureuse
i am sad,je suis triste
i am tired,je suis fatigué
i am excited,je suis excité
now,maintenant
today,aujourd'hui
tomorrow,demain
yesterday,hier
morning,matin
afternoon,après-midi
evening,soirée
night,nuit
please,s’il vous plaît
i want to go home,je veux rentrer à la maison
i eat rice,je mange du riz
i eat rice,ich esse reis
i'm feeling hungry,j’ai faim
you are a fool,vous êtes un imbécile
you are a fool,vous êtes un imbécile
