english sentence, japanese sentence
hello,こんにちは 
good morning,おはようございます 
good afternoon,こんにちは 
good evening,こんばんは 
nice to meet you,はじめまして 
thank you,ありがとうございます 
you're welcome,どういたしまして 
excuse me,すみません 
i am sorry,ごめんなさい 
yes,はい 
no,いいえ 
can you help me?,助けていただけますか 
i don't understand,わかりません 
could you repeat that?,もう一度お願いします 
do you speak english?,英語を話せますか 
i speak a little english,少し英語を話せます 
i am hungry,お腹がすきました 
where is the bathroom?,お手洗いはどこですか 
i need help,助けが必要です 
how much does it cost?,いくらですか 
goodbye,さようなら 
see you later,また後で 
have a nice day,良い一日を 
i am happy,嬉しいです 
i am sad,悲しいです 
i am tired,疲れました 
i am excited,ワクワクしています 
now,今 
today,今日 
tomorrow,明日 
yesterday,昨日 
morning,朝 
afternoon,昼 
evening,夕方 
night,夜 
please,"お願いします。
onegai shi masu "
i want to go home,"家に帰りたいです。
ie ni kaeri tai desu"
i eat rice,"ご飯を食べます。
gohan wa tabe masu "
i'm feeling hungry,"お腹が空いています。
onaka ga ai te iya masu "
you are a fool,"あなたはばかです。
anata wa baka desu "
this world shall know pain,kono sekai wa itami o shirudarou
